Grains and legumes,"1. Common wheat, Triticum vulgare"
,"2. Clup wheat, Tricticum compactum"
,"3. Shot wheat, Triticum sphaerocoecum"
,"4. Lentil, Lens esculenta"
,"5. Horse bean, Vicia faba"
,"6. Chickpea, Cicer arietinum"
,"7. Mung bean, Phaselous aureus"
,"8. Mustard, Brassica junca"
,"9. Flax, Linum usitatissimum (One of the centers)"
,"10. Sesame, Sesamum indicum"
Fiber plants,"1. Hemp, Cannabis indica"
,"2. Cotton, Gossypium herbaceum"
Vegetables,"1. Onion, Alium cepa"
,"2. Garlic, Allium sativum"
,"3. Spinach, Spinacia oleracea"
,"4. Carrot, Daucus carota"
Fruits,"1. Pistacia, Pistacia very"
,"2. Pere, Pyrus communtis."
,"3. Almond, Amygdalus communis"
,"4. Grape, Vitis vinifera"
,"5. Apple, Malus pumila"
