Cereals and Legumes,"1. Rice, Oryza sativa"
,"2. Chickpea, Cicer arietinum"
,"3. Pigeon pea, Cajanus indicus"
,"4. Urd bean, Phaseolus mungo"
,"5. Mung bean, Phaseolus aureus"
,"6. Rice bean, Phaseolus calcaratus"
,"7. Cowpea, Vigna sinensis"
Vegetables and Tubers,"1. Eggplant, Solanum melogena"
,"2. Cucumber, Cucumis sativus"
,"3. Radish, Raphanus caudatus"
,"4. Taro, Colocasia antiquorum"
,"5. Tamarind, Tamarindus Indica"
Fruits,"1. Mango, Mangifere indica"
,"2. Orange, Citrus sinensis"
,"3. Tangerine, Citrus medica"
,"4. Citron, Citrus medica"
,"5. Tamarind, Tamarindus Indica"
