"Sugar, Oil and Fiber plants","1. Sugar cane, Saccharum officinarum"
,"2. Coconut palm, Cocos nucifera"
,"3. Sesame, Sesamum indicum"
,"4. Safflower, Carthamus tinctorius"
,"5. Tree cotton, Gossypium arboreum"
,"6. Oriental cotton, Gossypium arboreum"
,"7. Jute, Corchorus capsularis"
,"8. Crotalaria, Crotalaria juncea"
,"9. Kenaf, Hibiscus cannabinus"
"Spices, Stimulants, Dyes, and Miscellaneous","1. Hemp, Cannabis indica"
,"2. Black pepper, Piper nigrum"
,"3. Gum arabic, Acacia arabica"
,"4. Sandalwood, Santalulm album"
,"5. Indigo, Indigofera tinctoria"
,"6. Cinnamon tree, Cinnamomum zeylanticum"
,"7. Croton, Croton tiglium"
,"8. Bamboo, Bambusa tulda"
