Varieties/lines,Parents,Grain type,Recommended domain
Khumal-2,Jameli/Ku-16-361-BLK-2-8,Fine,Warm temperate
Khumal-4,IR 28/Pokhreli Masino,Fine,Warm temperate
Palung-2,BG 94-2/Pokhreli Masino,Fine,Cool temperate
Khumal-5,Pokhreli Masino/Ku-16-361-BLK-2-6,Medium,Warm temperate
Machhapuchhre-3,Chhomrong/Fuji 102,Coarse,Cool temperate
Manjushree-2,Fuji 102/NR10157(Jumli Marshi/IR 9129-159-3//kn-1b-361-1-8-6-3),Fine,Kathmandu valley
Khumal-8,Jumli Marshi/IR-36,Fine,Warm temperate
Khumal-10,IR-36/Khumal-5 (Pokhreli Masino/Ku-IB-361-BLR-2-6),Fine,Warm temperate
Lekhali Dhan-1,Banjaiman/Chhomrong,Coarse,Cool temperate
Lekhali Dhan-3,Yunlen 5/Chhomrong,Coarse,Cool temperate
